Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
2008-01-01,9,6,9,8,3,9,5,11,10,8
2008-01-02,9,6,9,8,2,9,5,11,10,8
2008-01-03,9,7,9,8,2,9,5,11,10,8
2008-01-04,9,7,9,8,2,9,5,11,10,8
2008-01-05,9,8,9,8,2,9,5,11,10,8
2008-01-06,9,8,9,8,2,9,5,11,10,8
2008-01-07,9,8,9,8,2,9,5,11,10,8
2008-01-08,9,9,9,8,2,9,5,11,10,8
2008-01-09,9,9,10,8,2,9,5,11,10,8
2008-01-10,9,10,10,8,2,9,5,11,10,8
2008-01-11,9,10,10,8,2,9,5,11,10,8
2008-01-12,9,11,10,8,2,9,5,11,10,8
2008-01-13,9,11,10,8,2,9,5,11,10,8
2008-01-14,9,11,10,8,2,9,5,11,10,8
2008-01-15,9,0,10,8,2,9,5,11,10,8
2008-01-16,9,0,10,8,2,9,5,11,10,8
2008-01-17,9,1,10,8,2,9,5,11,10,8
2008-01-18,9,1,10,8,2,9,5,11,10,8
2008-01-19,9,2,10,8,2,9,5,11,10,8
2008-01-20,9,2,10,8,2,9,5,11,10,8
2008-01-21,10,3,10,8,2,9,5,11,10,8
2008-01-22,10,3,10,8,2,9,5,11,10,8
2008-01-23,10,4,10,8,2,9,5,11,10,8
2008-01-24,10,4,10,8,2,9,5,11,10,8
2008-01-25,10,5,10,9,2,9,5,11,10,8
2008-01-26,10,5,10,9,2,9,5,11,10,8
2008-01-27,10,6,10,9,2,9,5,11,10,9
2008-01-28,10,6,10,9,2,9,5,11,10,9
2008-01-29,10,6,10,9,2,9,5,11,10,9
2008-01-30,10,7,10,9,2,9,5,11,10,9
2008-01-31,10,7,10,9,2,9,9,5,11,10
2008-02-01,10,8,10,9,2,9,9,11,10,9
2008-02-02,10,8,10,9,2,9,5,11,10,9
2008-02-03,10,8,10,9,2,9,5,11,10,9
2008-02-04,10,9,10,9,2,9,5,11,10,9
2008-02-05,10,9,10,9,2,9,5,11,10,9
2008-02-06,10,10,10,9,2,9,5,11,10,9
2008-02-07,10,10,10,9,2,9,5,11,10,9
2008-02-08,10,10,10,9,2,9,5,11,10,9
2008-02-09,10,11,10,9,2,9,5,11,10,9
2008-02-10,10,11,10,9,2,9,5,11,10,9
2008-02-11,10,0,10,9,2,9,5,11,10,9
2008-02-12,10,0,10,9,2,9,5,11,10,9
2008-02-13,10,1,10,9,2,9,5,11,10,9
2008-02-14,10,1,10,9,2,9,5,11,10,9
2008-02-15,10,2,10,9,2,9,5,11,10,9
2008-02-16,10,2,10,9,2,9,5,11,10,9
2008-02-17,10,3,10,9,2,9,5,11,10,9
2008-02-18,10,3,10,10,2,9,5,11,10,9
2008-02-19,10,4,10,10,2,9,5,11,10,9
2008-02-20,11,4,10,10,2,9,5,11,10,9
2008-02-21,11,4,10,10,2,9,5,11,10,9
2008-02-22,11,5,10,10,2,9,5,11,10,9
2008-02-23,11,5,10,10,2,9,5,11,10,9
2008-02-24,11,6,10,10,2,9,5,11,10,9
2008-02-25,11,6,10,10,2,9,5,11,10,9
2008-02-26,11,7,10,10,2,9,5,11,10,9
2008-02-27,11,7,10,10,2,9,5,11,10,9
2008-02-28,11,7,10,10,2,9,5,11,10,9
2008-02-29,11,8,10,10,2,9,5,11,10,9
2008-03-01,11,8,10,10,2,9,5,11,10,9
2008-03-02,11,9,10,10,2,9,5,11,10,9
2008-03-03,11,9,10,10,2,9,5,11,10,9
2008-03-04,11,9,10,10,2,9,5,11,10,9
2008-03-05,11,10,10,10,3,9,5,11,10,9
2008-03-06,11,10,10,10,3,9,5,11,10,9
2008-03-07,11,11,10,10,3,9,5,11,10,9
2008-03-08,11,11,10,10,3,9,5,11,10,9
2008-03-09,11,0,10,10,3,9,5,11,10,9
2008-03-10,11,0,10,10,3,9,5,11,10,9
